2026/06/20 05:32:48.329, 0 %, 0 %, 0 MiB, 157.84 W
2026/06/20 05:33:03.571, 0 %, 0 %, 3 MiB, 157.96 W
2026/06/20 05:33:18.768, 0 %, 0 %, 11259 MiB, 213.25 W
2026/06/20 05:33:33.819, 0 %, 0 %, 11253 MiB, 211.40 W
2026/06/20 05:33:48.895, 0 %, 0 %, 11252 MiB, 211.40 W
2026/06/20 05:34:03.938, 0 %, 0 %, 11251 MiB, 211.38 W
2026/06/20 05:34:18.963, 0 %, 0 %, 11248 MiB, 211.39 W
2026/06/20 05:34:33.988, 0 %, 0 %, 11247 MiB, 211.38 W
2026/06/20 05:34:49.012, 0 %, 0 %, 11247 MiB, 211.40 W
2026/06/20 05:35:04.056, 0 %, 0 %, 11247 MiB, 211.40 W
2026/06/20 05:35:19.119, 0 %, 0 %, 11247 MiB, 211.40 W
2026/06/20 05:35:34.204, 0 %, 0 %, 11247 MiB, 211.54 W
2026/06/20 05:35:49.279, 0 %, 0 %, 11247 MiB, 211.49 W
2026/06/20 05:36:04.368, 0 %, 0 %, 11247 MiB, 211.47 W
2026/06/20 05:36:19.419, 0 %, 0 %, 11247 MiB, 211.41 W
2026/06/20 05:36:34.519, 0 %, 0 %, 11246 MiB, 211.49 W
2026/06/20 05:36:49.581, 0 %, 0 %, 11246 MiB, 211.39 W
2026/06/20 05:37:04.649, 0 %, 0 %, 11246 MiB, 211.47 W
2026/06/20 05:37:19.719, 0 %, 0 %, 11246 MiB, 211.53 W
2026/06/20 05:37:34.756, 0 %, 0 %, 11246 MiB, 211.40 W
2026/06/20 05:37:49.870, 0 %, 0 %, 11246 MiB, 211.55 W
2026/06/20 05:38:04.969, 0 %, 0 %, 11246 MiB, 211.46 W
2026/06/20 05:38:20.039, 0 %, 0 %, 11246 MiB, 211.38 W
2026/06/20 05:38:35.109, 96 %, 40 %, 11246 MiB, 790.95 W
2026/06/20 05:38:50.189, 0 %, 0 %, 11261 MiB, 211.85 W
2026/06/20 05:39:05.238, 0 %, 0 %, 11257 MiB, 211.86 W
2026/06/20 05:39:20.289, 0 %, 0 %, 11256 MiB, 211.90 W
2026/06/20 05:39:35.312, 0 %, 0 %, 11256 MiB, 211.54 W
2026/06/20 05:39:50.379, 0 %, 0 %, 11256 MiB, 211.63 W
2026/06/20 05:40:05.429, 0 %, 0 %, 11256 MiB, 211.93 W
2026/06/20 05:40:20.482, 0 %, 0 %, 11256 MiB, 211.54 W
2026/06/20 05:40:35.506, 0 %, 0 %, 11256 MiB, 211.68 W
2026/06/20 05:40:50.569, 0 %, 0 %, 11255 MiB, 211.48 W
2026/06/20 05:41:05.619, 0 %, 0 %, 11255 MiB, 211.48 W
2026/06/20 05:41:20.655, 0 %, 0 %, 11255 MiB, 211.69 W
2026/06/20 05:41:35.719, 0 %, 0 %, 11255 MiB, 211.70 W
2026/06/20 05:41:50.809, 0 %, 0 %, 11255 MiB, 211.77 W
2026/06/20 05:42:05.899, 0 %, 0 %, 11255 MiB, 211.78 W
2026/06/20 05:42:21.009, 0 %, 0 %, 11255 MiB, 211.54 W
2026/06/20 05:42:36.059, 0 %, 0 %, 11255 MiB, 211.54 W
2026/06/20 05:42:51.139, 0 %, 0 %, 11255 MiB, 211.86 W
2026/06/20 05:43:06.189, 0 %, 0 %, 11255 MiB, 211.70 W
2026/06/20 05:43:21.223, 0 %, 0 %, 11255 MiB, 211.55 W
2026/06/20 05:43:36.261, 0 %, 0 %, 11255 MiB, 211.54 W
2026/06/20 05:43:51.312, 0 %, 0 %, 11052 MiB, 224.59 W
2026/06/20 05:44:06.339, 0 %, 0 %, 11051 MiB, 211.70 W
2026/06/20 05:44:21.411, 0 %, 0 %, 11050 MiB, 211.72 W
2026/06/20 05:44:36.509, 0 %, 0 %, 11050 MiB, 211.56 W
2026/06/20 05:44:51.579, 0 %, 0 %, 11049 MiB, 211.56 W
2026/06/20 05:45:06.628, 0 %, 0 %, 11049 MiB, 211.47 W
2026/06/20 05:45:21.698, 0 %, 0 %, 11049 MiB, 211.63 W
2026/06/20 05:45:36.723, 0 %, 0 %, 11049 MiB, 211.78 W
2026/06/20 05:45:51.747, 0 %, 0 %, 11049 MiB, 211.55 W
2026/06/20 05:46:06.771, 0 %, 0 %, 11049 MiB, 211.91 W
2026/06/20 05:46:21.849, 0 %, 0 %, 11049 MiB, 211.42 W
2026/06/20 05:46:36.889, 0 %, 0 %, 11049 MiB, 211.69 W
2026/06/20 05:46:51.949, 0 %, 0 %, 11049 MiB, 211.51 W
2026/06/20 05:47:07.039, 0 %, 0 %, 11049 MiB, 212.03 W
2026/06/20 05:47:22.102, 0 %, 0 %, 11049 MiB, 211.70 W
2026/06/20 05:47:37.159, 0 %, 0 %, 11049 MiB, 211.55 W
2026/06/20 05:47:52.239, 0 %, 0 %, 11049 MiB, 211.47 W
2026/06/20 05:48:07.339, 0 %, 0 %, 11049 MiB, 211.85 W
2026/06/20 05:48:22.449, 0 %, 0 %, 11049 MiB, 211.61 W
2026/06/20 05:48:37.508, 0 %, 0 %, 11049 MiB, 211.78 W
2026/06/20 05:48:52.559, 0 %, 0 %, 11049 MiB, 211.64 W
2026/06/20 05:49:07.583, 97 %, 40 %, 11049 MiB, 793.40 W
2026/06/20 05:49:22.636, 0 %, 0 %, 11261 MiB, 212.02 W
2026/06/20 05:49:37.689, 0 %, 0 %, 11261 MiB, 211.63 W
2026/06/20 05:49:52.738, 0 %, 0 %, 11261 MiB, 211.47 W
2026/06/20 05:50:07.789, 0 %, 0 %, 11261 MiB, 211.70 W
2026/06/20 05:50:22.829, 0 %, 0 %, 11261 MiB, 211.72 W
2026/06/20 05:50:37.853, 0 %, 0 %, 11261 MiB, 211.61 W
2026/06/20 05:50:52.959, 0 %, 0 %, 11261 MiB, 211.71 W
2026/06/20 05:51:07.998, 0 %, 0 %, 11261 MiB, 211.40 W
2026/06/20 05:51:23.037, 0 %, 0 %, 11261 MiB, 211.39 W
2026/06/20 05:51:38.071, 0 %, 0 %, 11261 MiB, 211.48 W
2026/06/20 05:51:53.151, 0 %, 0 %, 11261 MiB, 211.48 W
2026/06/20 05:52:08.249, 0 %, 0 %, 11261 MiB, 211.40 W
2026/06/20 05:52:23.339, 0 %, 0 %, 11261 MiB, 211.48 W
2026/06/20 05:52:38.378, 0 %, 0 %, 11261 MiB, 211.55 W
2026/06/20 05:52:53.407, 0 %, 0 %, 11261 MiB, 211.55 W
2026/06/20 05:53:08.431, 0 %, 0 %, 11261 MiB, 211.63 W
2026/06/20 05:53:23.455, 0 %, 0 %, 11261 MiB, 211.47 W
2026/06/20 05:53:38.479, 0 %, 0 %, 11261 MiB, 211.40 W
2026/06/20 05:53:53.503, 0 %, 0 %, 11261 MiB, 211.47 W
2026/06/20 05:54:08.527, 0 %, 0 %, 11261 MiB, 211.63 W
2026/06/20 05:54:23.589, 97 %, 40 %, 11261 MiB, 809.14 W
2026/06/20 05:54:38.614, 0 %, 0 %, 11255 MiB, 212.09 W
2026/06/20 05:54:53.638, 0 %, 0 %, 11255 MiB, 211.78 W
2026/06/20 05:55:08.662, 0 %, 0 %, 11255 MiB, 211.55 W
2026/06/20 05:55:23.692, 0 %, 0 %, 11255 MiB, 211.86 W
2026/06/20 05:55:38.759, 0 %, 0 %, 11255 MiB, 211.71 W
2026/06/20 05:55:53.849, 0 %, 0 %, 11255 MiB, 211.49 W
2026/06/20 05:56:08.949, 0 %, 0 %, 11255 MiB, 211.72 W
2026/06/20 05:56:24.069, 0 %, 0 %, 11255 MiB, 211.71 W
2026/06/20 05:56:39.109, 0 %, 0 %, 11255 MiB, 211.93 W
2026/06/20 05:56:54.134, 0 %, 0 %, 11255 MiB, 211.55 W
2026/06/20 05:57:09.159, 0 %, 0 %, 11255 MiB, 211.70 W
2026/06/20 05:57:24.219, 0 %, 0 %, 11255 MiB, 211.71 W
2026/06/20 05:57:39.299, 0 %, 0 %, 11255 MiB, 211.49 W
2026/06/20 05:57:54.399, 0 %, 0 %, 11255 MiB, 211.69 W
2026/06/20 05:58:09.460, 0 %, 0 %, 11255 MiB, 211.40 W
2026/06/20 05:58:24.519, 0 %, 0 %, 11255 MiB, 211.77 W
